sorghum3,Pv1_jcvi
Sobic.001G014200,Pavagv11000190m
Sobic.001G014300,No Gene
Sobic.001G014400,No Gene
Sobic.001G014500,No Gene
Sobic.001G014600,No Gene
Sobic.001G014700,Pavagv11000221m
Sobic.001G014800,Pavagv11000191m
Sobic.001G014900,Pavagv11000197m
Sobic.001G015000,Pavagv11000203m
Sobic.001G015100,Pavagv11000204m
Sobic.001G015200,Pavagv11000205m
Sobic.001G015300,Pavagv11000210m
Sobic.001G015400,No Gene
Sobic.001G015500,Pavagv11000211m
Sobic.001G015600,Pavagv11000212m
Sobic.001G015700,Pavagv11000214m
Sobic.001G015800,Pavagv11000215m
Sobic.001G016000,Pavagv11000218m
Sobic.001G016050,No Gene
Sobic.001G016100,No Gene
Sobic.001G016201,Pavagv11000178m
Sobic.001G016300,Pavagv11000222m
Sobic.001G016350,No Gene
Sobic.001G016200,No Gene
Sobic.001G016400,No Gene
Sobic.001G016500,No Gene
Sobic.001G016600,Pavagv11000224m
Sobic.001G016700,Pavagv11000225m
Sobic.001G016800,Pavagv11000226m
Sobic.001G016900,Pavagv11000233m
Sobic.001G017000,Pavagv11000235m
Sobic.001G017100,Pavagv11000236m
Sobic.001G017200,No Gene
Sobic.001G017300,Pavagv11000237m
Sobic.001G017400,Pavagv11000238m
Sobic.001G017500,Pavagv11000239m
Sobic.001G017600,No Gene
Sobic.001G017700,No Gene
Sobic.001G017800,Pavagv11000240m
Sobic.001G017900,Pavagv11000241m
Sobic.001G018000,Pavagv11000242m
Sobic.001G018100,Pavagv11000244m
Sobic.001G018200,Pavagv11000245m
Sobic.001G018300,No Gene
Sobic.001G018350,Pavagv11000248m
Sobic.001G018400,No Gene
Sobic.001G018500,Pavagv11000251m
Sobic.001G018550,No Gene
Sobic.001G018600,No Gene
Sobic.001G018700,No Gene
Sobic.001G018800,No Gene
Sobic.001G018900,No Gene
Sobic.001G019000,No Gene
Sobic.001G019100,No Gene
Sobic.001G019200,Pavagv11000256m
Sobic.001G019300,Pavagv11000257m
Sobic.001G019400,Pavagv11000261m
Sobic.001G019500,Pavagv11000262m
Sobic.001G019601,No Gene
Sobic.001G019700,Pavagv11000267m
Sobic.001G019800,Pavagv11000269m
Sobic.001G019900,Pavagv11000280m
Sobic.001G020000,No Gene
Sobic.001G020100,Pavagv11000281m
Sobic.001G020200,Pavagv11000282m
Sobic.001G020350,Pavagv11000284m
Sobic.001G020500,Pavagv11000285m
Sobic.001G020600,Pavagv11000286m
Sobic.001G020700,Pavagv11000288m
Sobic.001G020800,Pavagv11000289m
Sobic.001G020900,Pavagv11000290m
Sobic.001G021000,Pavagv11000291m
Sobic.001G021100,No Gene
Sobic.001G021200,No Gene
Sobic.001G021300,No Gene
Sobic.001G021400,No Gene
Sobic.001G021500,No Gene
Sobic.001G021601,No Gene
Sobic.001G021700,No Gene
Sobic.001G021800,Pavagv11000293m
Sobic.001G021900,Pavagv11000297m
Sobic.001G022000,No Gene
Sobic.001G022100,Pavagv11000298m
Sobic.001G022200,Pavagv11000299m
Sobic.001G022300,No Gene
Sobic.001G022400,Pavagv11000300m
Sobic.001G022500,No Gene
Sobic.001G022600,Pavagv11000302m
Sobic.001G022700,Pavagv11000304m
Sobic.001G022800,No Gene
Sobic.001G022900,Pavagv11000305m
Sobic.001G023000,Pavagv11000306m
Sobic.001G023100,Pavagv11000308m
Sobic.001G023200,Pavagv11000310m
Sobic.001G023300,Pavagv11000312m
Sobic.001G023400,Pavagv11000313m
Sobic.001G023500,Pavagv11000317m
Sobic.001G023600,No Gene
Sobic.001G023700,Pavagv11000325m
Sobic.001G023800,Pavagv11000330m
Sobic.001G023900,Pavagv11000334m
Sobic.001G024000,Pavagv11000335m
Sobic.001G024100,Pavagv11000336m
Sobic.001G024200,Pavagv11000337m
Sobic.001G024250,Pavagv11000338m
Sobic.001G024300,Pavagv11000339m
Sobic.001G024400,Pavagv11000340m
Sobic.001G024500,Pavagv11000341m
Sobic.001G024700,No Gene
Sobic.001G024800,No Gene
Sobic.001G024900,Pavagv11000344m
Sobic.001G025000,No Gene
Sobic.001G025101,Pavagv11000345m
Sobic.001G025201,Pavagv11000346m
Sobic.001G025300,Pavagv11000315m
Sobic.001G025400,Pavagv11000347m
Sobic.001G025500,Pavagv11000350m
Sobic.001G025600,Pavagv11000351m
Sobic.001G025700,Pavagv11000352m
Sobic.001G025800,No Gene
Sobic.001G025900,Pavagv11000354m
Sobic.001G026000,Pavagv11000356m
Sobic.001G026100,Pavagv11000357m
Sobic.001G026200,Pavagv11000360m
Sobic.001G026300,Pavagv11000365m
Sobic.001G026400,Pavagv11000367m
Sobic.001G026500,Pavagv11000368m
Sobic.001G026600,No Gene
Sobic.001G026700,Pavagv11000370m
Sobic.001G026800,Pavagv11000372m
Sobic.001G026900,Pavagv11000373m
Sobic.001G026950,No Gene
Sobic.001G027000,No Gene
Sobic.001G027100,Pavagv11000376m
Sobic.001G027200,No Gene
Sobic.001G027300,Pavagv11000377m
Sobic.001G027400,Pavagv11000378m
Sobic.001G027500,No Gene
Sobic.001G027600,Pavagv11000379m
Sobic.001G027700,No Gene
Sobic.001G027800,Pavagv11000380m
Sobic.001G027900,Pavagv11000382m
Sobic.001G028000,No Gene
Sobic.001G028100,Pavagv11000385m
Sobic.001G028200,No Gene
Sobic.001G028301,No Gene
Sobic.001G028400,Pavagv11000386m
Sobic.001G028500,Pavagv11000388m
Sobic.001G028600,Pavagv11000390m
Sobic.001G028700,Pavagv11000391m
Sobic.001G028800,Pavagv11000397m
Sobic.001G028900,No Gene
Sobic.001G029000,No Gene
Sobic.001G029100,No Gene
Sobic.001G029200,Pavagv11000399m
Sobic.001G029300,Pavagv11000400m
Sobic.001G029400,No Gene
Sobic.001G029500,Pavagv11000403m
Sobic.001G029600,Pavagv11000404m
Sobic.001G029700,Pavagv11000405m
Sobic.001G029800,No Gene
Sobic.001G029900,Pavagv11000406m
Sobic.001G030000,Pavagv11000407m
Sobic.001G030100,Pavagv11000409m
Sobic.001G030200,Pavagv11000410m
Sobic.001G030300,Pavagv11000412m
Sobic.001G030400,Pavagv11000413m
Sobic.001G030500,No Gene
Sobic.001G030600,No Gene
Sobic.001G030800,Pavagv11000422m
Sobic.001G030900,Pavagv11000415m
Sobic.001G031000,No Gene
Sobic.001G031100,Pavagv11000423m
Sobic.001G031200,Pavagv11000426m
Sobic.001G031300,Pavagv11000427m
Sobic.001G031400,Pavagv11000428m
Sobic.001G031500,No Gene
Sobic.001G031600,Pavagv11000429m
Sobic.001G031700,Pavagv11000430m
Sobic.001G031800,No Gene
Sobic.001G031900,Pavagv11000431m
Sobic.001G032000,Pavagv11000432m
Sobic.001G032100,Pavagv11000442m
Sobic.001G032200,Pavagv11000447m
Sobic.001G032300,Pavagv11000448m
Sobic.001G032400,Pavagv11000450m
Sobic.001G032550,No Gene
Sobic.001G032700,Pavagv11000452m
Sobic.001G032800,Pavagv11000454m
Sobic.001G032850,No Gene
Sobic.001G032900,Pavagv11000456m
Sobic.001G033000,Pavagv11000457m
Sobic.001G033100,Pavagv11000458m
Sobic.001G033200,Pavagv11000460m
Sobic.001G033300,Pavagv11000462m
Sobic.001G033400,Pavagv11000463m
Sobic.001G033500,Pavagv11000464m
Sobic.001G033600,Pavagv11000465m
Sobic.001G033701,Pavagv11000466m
Sobic.001G033800,No Gene
Sobic.001G033900,No Gene
Sobic.001G034000,No Gene
Sobic.001G034050,No Gene
Sobic.001G034100,Pavagv11000468m
Sobic.001G034200,No Gene
Sobic.001G034300,Pavagv11000471m
Sobic.001G034400,No Gene
Sobic.001G034500,Pavagv11000473m
Sobic.001G034600,Pavagv11000475m
Sobic.001G034700,Pavagv11000476m
Sobic.001G034900,Pavagv11000477m
Sobic.001G035000,Pavagv11000478m
Sobic.001G035100,Pavagv11000479m
Sobic.001G035200,Pavagv11000481m
Sobic.001G035300,Pavagv11000482m
Sobic.001G035400,Pavagv11000483m
Sobic.001G035450,No Gene
Sobic.001G035500,Pavagv11000484m
Sobic.001G035600,Pavagv11000486m
Sobic.001G035700,No Gene
Sobic.001G035800,Pavagv11000488m
Sobic.001G035900,No Gene
Sobic.001G036050,No Gene
Sobic.001G036200,Pavagv11000493m
Sobic.001G036300,Pavagv11000495m
Sobic.001G036400,No Gene
Sobic.001G036600,No Gene
Sobic.001G036700,Pavagv11000496m
Sobic.001G036800,Pavagv11000498m
Sobic.001G036900,Pavagv11000499m
Sobic.001G037000,Pavagv11000501m
Sobic.001G037033,No Gene
Sobic.001G037066,No Gene
Sobic.001G037100,No Gene
Sobic.001G037150,No Gene
Sobic.001G037200,No Gene
Sobic.001G037300,No Gene
Sobic.001G037400,No Gene
Sobic.001G037500,No Gene
Sobic.001G037550,No Gene
Sobic.001G037600,No Gene
Sobic.001G037700,No Gene
Sobic.001G037800,No Gene
Sobic.001G037900,Pavagv11000505m
Sobic.001G038000,Pavagv11000506m
Sobic.001G038050,No Gene
Sobic.001G038100,Pavagv11000508m
Sobic.001G038200,Pavagv11000510m
Sobic.001G038300,Pavagv11000511m
Sobic.001G038400,Pavagv11000515m
Sobic.001G038450,No Gene
Sobic.001G038500,Pavagv11000518m
Sobic.001G038601,No Gene
Sobic.001G038700,Pavagv11000520m
Sobic.001G038800,Pavagv11000521m
Sobic.001G038900,Pavagv11000523m
Sobic.001G039000,Pavagv11000524m
Sobic.001G039100,Pavagv11000526m
Sobic.001G039200,Pavagv11000527m
Sobic.001G039300,Pavagv11000528m
Sobic.001G039400,Pavagv11000530m
Sobic.001G039500,Pavagv11000532m
Sobic.001G039600,Pavagv11000533m
Sobic.001G039700,Pavagv11000535m
Sobic.001G039750,No Gene
Sobic.001G039800,Pavagv11000537m
Sobic.001G039900,Pavagv11000538m
Sobic.001G040000,Pavagv11000541m
Sobic.001G040100,Pavagv11000542m
Sobic.001G040200,Pavagv11000543m
Sobic.001G040300,No Gene
Sobic.001G040400,Pavagv11000547m
Sobic.001G040500,Pavagv11000549m
Sobic.001G040600,Pavagv11000551m
Sobic.001G040701,No Gene
Sobic.001G040800,Pavagv11000554m
Sobic.001G040900,Pavagv11000555m
Sobic.001G041000,Pavagv11000557m
Sobic.001G041100,Pavagv11000558m
Sobic.001G041200,Pavagv11000559m
Sobic.001G041300,Pavagv11000561m
Sobic.001G041400,Pavagv11000564m
Sobic.001G041450,No Gene
Sobic.001G041500,Pavagv11000566m
Sobic.001G041600,Pavagv11000567m
Sobic.001G041700,Pavagv11000569m
Sobic.001G041800,Pavagv11000571m
Sobic.001G041900,Pavagv11000572m
Sobic.001G042000,Pavagv11000574m
Sobic.001G042100,No Gene
Sobic.001G042200,Pavagv11000575m
Sobic.001G042301,Pavagv11000576m
Sobic.001G042400,No Gene
Sobic.001G042500,No Gene
Sobic.001G042600,No Gene
Sobic.001G042700,No Gene
Sobic.001G042800,Pavagv11001377m
Sobic.001G042901,Pavagv11001380m
Sobic.001G043000,Pavagv11001382m
Sobic.001G043100,No Gene
Sobic.001G043200,No Gene
Sobic.001G043300,No Gene
Sobic.001G043400,Pavagv11001383m
Sobic.001G043500,Pavagv11001385m
Sobic.001G043601,Pavagv11001386m
Sobic.001G043700,Pavagv11001389m
Sobic.001G043800,Pavagv11001391m
Sobic.001G043900,No Gene
Sobic.001G044000,No Gene
Sobic.001G044100,No Gene
Sobic.001G044200,No Gene
Sobic.001G044300,Pavagv11001400m
Sobic.001G044400,No Gene
Sobic.001G044500,Pavagv11001402m
Sobic.001G044600,No Gene
Sobic.001G044700,Pavagv11001403m
Sobic.001G044800,Pavagv11001404m
Sobic.001G044900,No Gene
Sobic.001G045000,Pavagv11001410m
Sobic.001G045100,No Gene
Sobic.001G045300,Pavagv11001411m
Sobic.001G045400,No Gene
Sobic.001G045500,No Gene
Sobic.001G045600,Pavagv11001415m
Sobic.001G045700,Pavagv11001426m
Sobic.001G045800,Pavagv11001429m
Sobic.001G045900,No Gene
Sobic.001G046000,Pavagv11001430m
Sobic.001G046100,No Gene
Sobic.001G046200,No Gene
Sobic.001G046300,Pavagv11001431m
Sobic.001G046400,Pavagv11001432m
Sobic.001G046500,No Gene
Sobic.001G046600,No Gene
Sobic.001G046700,No Gene
Sobic.001G046800,Pavagv11001433m
Sobic.001G046900,Pavagv11001434m
Sobic.001G047000,No Gene
Sobic.001G047100,Pavagv11001435m
Sobic.001G047200,Pavagv11001439m
Sobic.001G047400,No Gene
Sobic.001G047500,No Gene
Sobic.001G047600,Pavagv11001442m
Sobic.001G047700,Pavagv11001444m
Sobic.001G047800,Pavagv11001445m
Sobic.001G047900,Pavagv11001446m
Sobic.001G048000,Pavagv11001448m
Sobic.001G048100,Pavagv11001451m
Sobic.001G048200,Pavagv11001452m
Sobic.001G048300,No Gene
Sobic.001G048400,Pavagv11001453m
Sobic.001G048500,No Gene
Sobic.001G048600,No Gene
Sobic.001G048700,Pavagv11001469m
Sobic.001G048766,No Gene
Sobic.001G048832,No Gene
Sobic.001G048900,No Gene
Sobic.001G049000,No Gene
Sobic.001G049200,Pavagv11001473m
Sobic.001G049300,Pavagv11001474m
Sobic.001G049400,Pavagv11001475m
Sobic.001G049500,Pavagv11001480m
Sobic.001G049600,Pavagv11001481m
Sobic.001G049700,No Gene
Sobic.001G049800,No Gene
Sobic.001G049900,Pavagv11001483m
Sobic.001G050000,No Gene
Sobic.001G050100,Pavagv11001484m
Sobic.001G050200,Pavagv11001486m
Sobic.001G050300,Pavagv11001487m
Sobic.001G050400,Pavagv11001488m
Sobic.001G050500,Pavagv11001491m
Sobic.001G050600,Pavagv11001492m
Sobic.001G050650,No Gene
Sobic.001G050700,No Gene
Sobic.001G050800,Pavagv11001494m
Sobic.001G050900,Pavagv11001498m
Sobic.001G051100,Pavagv11001500m
Sobic.001G051200,Pavagv11001501m
Sobic.001G051300,Pavagv11001503m
Sobic.001G051400,Pavagv11001504m
Sobic.001G051500,Pavagv11001506m
Sobic.001G051600,Pavagv11001508m
Sobic.001G051700,Pavagv11001510m
Sobic.001G051800,Pavagv11001511m
Sobic.001G052000,No Gene
Sobic.001G052100,Pavagv11001515m
Sobic.001G052200,Pavagv11001516m
Sobic.001G052300,Pavagv11001520m
Sobic.001G052350,No Gene
Sobic.001G052400,Pavagv11001521m
Sobic.001G052500,No Gene
Sobic.001G052600,Pavagv11001528m
Sobic.001G052700,Pavagv11001532m
Sobic.001G052800,No Gene
Sobic.001G052900,Pavagv11001535m
Sobic.001G053000,Pavagv11001536m
Sobic.001G053100,No Gene
Sobic.001G053200,No Gene
Sobic.001G053350,No Gene
Sobic.001G053500,Pavagv11001537m
Sobic.001G053601,No Gene
Sobic.001G053700,Pavagv11001541m
Sobic.001G053800,Pavagv11001544m
Sobic.001G053900,Pavagv11001546m
Sobic.001G054000,Pavagv11001548m
Sobic.001G054050,No Gene
Sobic.001G054100,Pavagv11001549m
Sobic.001G054200,No Gene
Sobic.001G054300,Pavagv11001551m
Sobic.001G054400,Pavagv11001552m
Sobic.001G054500,No Gene
Sobic.001G054600,Pavagv11001553m
Sobic.001G054700,Pavagv11001554m
Sobic.001G054800,Pavagv11001555m
Sobic.001G054900,No Gene
Sobic.001G055100,No Gene
Sobic.001G055300,No Gene
Sobic.001G055400,Pavagv11001557m
Sobic.001G055600,Pavagv11001559m
Sobic.001G055700,Pavagv11001560m
Sobic.001G055800,No Gene
Sobic.001G055900,Pavagv11001561m
Sobic.001G056000,Pavagv11001563m
Sobic.001G056100,Pavagv11001564m
Sobic.001G056200,Pavagv11001565m
Sobic.001G056300,Pavagv11001566m
Sobic.001G056400,Pavagv11001570m
Sobic.001G056500,No Gene
Sobic.001G056601,Pavagv11001574m
Sobic.001G056700,Pavagv11001575m
Sobic.001G056800,Pavagv11001577m
Sobic.001G056900,No Gene
Sobic.001G057100,Pavagv11001579m
Sobic.001G057200,Pavagv11001581m
Sobic.001G057300,Pavagv11001582m
Sobic.001G057400,Pavagv11001585m
Sobic.001G057500,Pavagv11001586m
Sobic.001G057600,Pavagv11001590m
Sobic.001G057700,Pavagv11001591m
Sobic.001G057800,Pavagv11001592m
Sobic.001G057900,Pavagv11001593m
Sobic.001G058000,No Gene
Sobic.001G058100,Pavagv11001594m
Sobic.001G058200,Pavagv11001595m
Sobic.001G058300,Pavagv11001597m
Sobic.001G058400,Pavagv11001598m
Sobic.001G058500,Pavagv11001599m
Sobic.001G058600,Pavagv11001600m
Sobic.001G058700,Pavagv11001601m
Sobic.001G058800,No Gene
Sobic.001G058900,Pavagv11001604m
Sobic.001G059001,No Gene
Sobic.001G059100,Pavagv11001605m
Sobic.001G059150,No Gene
Sobic.001G059200,No Gene
Sobic.001G059300,Pavagv11001607m
Sobic.001G059400,Pavagv11001609m
Sobic.001G059500,Pavagv11001610m
Sobic.001G059600,Pavagv11001611m
Sobic.001G059700,Pavagv11001612m
Sobic.001G059800,Pavagv11001613m
Sobic.001G059900,Pavagv11001616m
Sobic.001G060001,No Gene
Sobic.001G060100,Pavagv11001617m
Sobic.001G060200,No Gene
Sobic.001G060300,No Gene
Sobic.001G060401,No Gene
Sobic.001G060500,Pavagv11001619m
Sobic.001G060600,No Gene
Sobic.001G060666,No Gene
Sobic.001G060732,No Gene
Sobic.001G060800,No Gene
Sobic.001G060900,No Gene
Sobic.001G061000,Pavagv11001620m
Sobic.001G061101,Pavagv11001622m
Sobic.001G061200,No Gene
Sobic.001G061300,No Gene
Sobic.001G061400,Pavagv11001628m
Sobic.001G061500,Pavagv11001632m
Sobic.001G061600,Pavagv11001633m
Sobic.001G061700,Pavagv11001634m
Sobic.001G061800,Pavagv11001635m
Sobic.001G061900,Pavagv11001636m
Sobic.001G062000,No Gene
Sobic.001G062066,Pavagv11001637m
Sobic.001G062132,No Gene
Sobic.001G062200,No Gene
Sobic.001G062250,No Gene
Sobic.001G062300,Pavagv11001645m
Sobic.001G062400,No Gene
Sobic.001G062500,No Gene
Sobic.001G062600,No Gene
Sobic.001G062700,No Gene
Sobic.001G062750,No Gene
Sobic.001G062800,Pavagv11001648m
Sobic.001G062900,Pavagv11001649m
Sobic.001G063000,No Gene
Sobic.001G063100,Pavagv11001650m
Sobic.001G063200,Pavagv11001651m
Sobic.001G063300,Pavagv11001652m
Sobic.001G063400,Pavagv11001654m
Sobic.001G063500,Pavagv11001656m
Sobic.001G063600,Pavagv11001657m
Sobic.001G063700,Pavagv11001658m
Sobic.001G063800,Pavagv11001662m
Sobic.001G063900,Pavagv11001663m
Sobic.001G064000,No Gene
Sobic.001G064200,No Gene
Sobic.001G064300,No Gene
Sobic.001G064400,No Gene
Sobic.001G064500,Pavagv11001664m
Sobic.001G064600,Pavagv11001667m
Sobic.001G064700,No Gene
Sobic.001G064800,Pavagv11001668m
Sobic.001G064900,Pavagv11001670m
Sobic.001G065000,Pavagv11001671m
Sobic.001G065100,Pavagv11001672m
Sobic.001G065150,No Gene
Sobic.001G065200,Pavagv11001674m
Sobic.001G065300,Pavagv11001676m
Sobic.001G065400,No Gene
Sobic.001G065500,Pavagv11001678m
Sobic.001G065600,No Gene
Sobic.001G065700,Pavagv11001682m
Sobic.001G065800,Pavagv11001683m
Sobic.001G065900,No Gene
Sobic.001G066000,No Gene
Sobic.001G066100,Pavagv11001684m
Sobic.001G066300,Pavagv11001685m
Sobic.001G066400,No Gene
Sobic.001G066500,Pavagv11001686m
Sobic.001G066600,Pavagv11001689m
Sobic.001G066700,Pavagv11001690m
Sobic.001G066800,No Gene
Sobic.001G066900,No Gene
Sobic.001G067000,Pavagv11001692m
Sobic.001G067100,Pavagv11001694m
Sobic.001G067200,Pavagv11001695m
Sobic.001G067300,No Gene
Sobic.001G067400,Pavagv11001698m
Sobic.001G067500,Pavagv11001699m
Sobic.001G067601,No Gene
Sobic.001G067700,Pavagv11001701m
Sobic.001G067800,No Gene
Sobic.001G067850,No Gene
Sobic.001G067900,Pavagv11001709m
Sobic.001G068000,No Gene
Sobic.001G068066,No Gene
Sobic.001G068132,No Gene
Sobic.001G068200,No Gene
Sobic.001G068301,Pavagv11001719m
Sobic.001G068400,No Gene
Sobic.001G068500,No Gene
Sobic.001G068600,Pavagv11001727m
Sobic.001G068700,Pavagv11001728m
Sobic.001G068800,Pavagv11001729m
Sobic.001G068901,No Gene
Sobic.001G069000,Pavagv11001730m
Sobic.001G069100,No Gene
Sobic.001G069200,Pavagv11001736m
Sobic.001G069300,Pavagv11001737m
Sobic.001G069400,No Gene
Sobic.001G069500,Pavagv11001738m
Sobic.001G069600,Pavagv11001739m
Sobic.001G069700,Pavagv11001740m
Sobic.001G069800,Pavagv11001741m
Sobic.001G069900,Pavagv11001745m
Sobic.001G070000,Pavagv11001746m
Sobic.001G070100,Pavagv11001747m
Sobic.001G070200,Pavagv11001748m
Sobic.001G070300,Pavagv11001749m
Sobic.001G070401,No Gene
Sobic.001G070500,Pavagv11001758m
Sobic.001G070600,Pavagv11001760m
Sobic.001G070700,Pavagv11001761m
Sobic.001G070800,Pavagv11001762m
Sobic.001G070900,Pavagv11001763m
Sobic.001G071000,Pavagv11001764m
Sobic.001G071100,Pavagv11001765m
Sobic.001G071200,No Gene
Sobic.001G071250,Pavagv11001768m
Sobic.001G071300,Pavagv11001770m
Sobic.001G071400,No Gene
Sobic.001G071500,Pavagv11001772m
Sobic.001G071600,Pavagv11001773m
Sobic.001G071700,Pavagv11001775m
Sobic.001G071800,Pavagv11001776m
Sobic.001G071900,No Gene
Sobic.001G072000,No Gene
Sobic.001G072100,No Gene
Sobic.001G072200,No Gene
Sobic.001G072250,No Gene
Sobic.001G072300,No Gene
Sobic.001G072400,No Gene
Sobic.001G072500,No Gene
Sobic.001G072550,Pavagv11001778m
Sobic.001G072600,Pavagv11001779m
Sobic.001G072700,Pavagv11001782m
Sobic.001G072800,Pavagv11001783m
Sobic.001G072900,Pavagv11001787m
Sobic.001G073000,Pavagv11001788m
Sobic.001G073150,Pavagv11001791m
Sobic.001G073300,Pavagv11001793m
Sobic.001G073400,Pavagv11001794m
Sobic.001G073500,Pavagv11001796m
Sobic.001G073550,No Gene
Sobic.001G073600,Pavagv11001797m
Sobic.001G073700,No Gene
Sobic.001G073800,No Gene
Sobic.001G073900,Pavagv11001799m
Sobic.001G074000,Pavagv11001800m
Sobic.001G074100,Pavagv11001802m
Sobic.001G074200,Pavagv11001806m
Sobic.001G074300,Pavagv11001808m
Sobic.001G074400,Pavagv11001809m
Sobic.001G074500,No Gene
Sobic.001G074601,Pavagv11001811m
Sobic.001G074700,Pavagv11001812m
Sobic.001G074800,Pavagv11001813m
Sobic.001G074900,Pavagv11001814m
Sobic.001G075000,Pavagv11001815m
Sobic.001G075101,Pavagv11001818m
